Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,Collection_Date,AGE,isolate,Ecotype,treatment,source_name,replicate,HOST,isolation_source,GEO_Accession (exp),sample_type,collected_by,lat_lon,strain,BIOMATERIAL_PROVIDER,ID,BREED,genotype,sex,disease_stage,disease,infected_with,treatment_time,tree_number,Developmental_stage,temp,env_broad_scale,env_local_scale,env_medium,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,sample_name,Submitter_Id,host_tissue_sampled,infection,Development_stage,lab_host,PHENOTYPE,Month,scientific_name,ENA_first_public,common_name,Host_disease,cell_type,external_id,INSDC_first_public,INSDC_last_update,altitude,samp_size,isol_growth_condt,geographic_location_(country_and/or_sea),Note,height_or_length,population,Biological_Replicate,Host_age,sequencer,tissue_type,host_sex,host_subject_id,replicates,species_in_sample,sub_species,rootstock,samp_vol_we_dna_ext,scion,collection_method,host_common_name,host_dry_mass,host_genotype,host_height,host_length,host_life_stage,host_phenotype,host_subspecf_genlin,host_symbiont,host_taxid,host_tot_mass,misc_param,neg_cont_type,omics_observ_id,organism_count,oxy_stat_samp,perturbation,pos_cont_type,samp_collect_device,samp_mat_process,samp_store_dur,samp_store_loc,samp_store_temp,source_material_id,biol_stat,host_blood_press_diast,host_blood_press_syst,host_body_habitat,host_body_product,host_body_temp,host_color,Host_diet,host_family_relationship,host_growth_cond,host_last_meal,host_shape,host_substrate,rel_to_oxygen,samp_capt_status,samp_dis_stage,samp_salinity,size_frac,geographic_location_(region_and_locality),growth_protocol,insert_size_n (exp),insert_size_n (run)
SRR13434399,RNA-Seq,300,6716361300,SAMN17311257,2255768940,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847971,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s31,SRP301679,2021-01-14T01:16:00Z,1,PRJNA691971,s31,pulp,China,Asia,China: Hubei Province,Plant,Newhall,200 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434400,RNA-Seq,300,6834424800,SAMN17311256,2293715903,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847970,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s27,SRP301679,2021-01-14T01:16:00Z,1,PRJNA691971,s27,pulp,China,Asia,China: Hubei Province,Plant,Newhall,150 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434401,RNA-Seq,300,6526234500,SAMN17311255,2175705518,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847969,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s26,SRP301679,2021-01-14T01:27:00Z,1,PRJNA691971,s26,pulp,China,Asia,China: Hubei Province,Plant,Newhall,150 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434402,RNA-Seq,300,7361013000,SAMN17311254,2467138885,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847968,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s25,SRP301679,2021-01-14T00:56:00Z,1,PRJNA691971,s25,pulp,China,Asia,China: Hubei Province,Plant,Newhall,150 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434403,RNA-Seq,300,7200933600,SAMN17311253,2409878741,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847967,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s21,SRP301679,2021-01-14T01:30:00Z,1,PRJNA691971,s21,pulp,China,Asia,China: Hubei Province,Plant,Newhall,120 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434404,RNA-Seq,300,5934527100,SAMN17311252,2017165223,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847966,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s20,SRP301679,2021-01-14T01:30:00Z,1,PRJNA691971,s20,pulp,China,Asia,China: Hubei Province,Plant,Newhall,120 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434405,RNA-Seq,300,7734607500,SAMN17311251,2602370534,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847965,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s19,SRP301679,2021-01-14T01:38:00Z,1,PRJNA691971,s19,pulp,China,Asia,China: Hubei Province,Plant,Newhall,120 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434406,RNA-Seq,300,6573777900,SAMN17311250,2226262060,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847964,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s15,SRP301679,2021-01-14T00:57:00Z,1,PRJNA691971,s15,pulp,China,Asia,China: Hubei Province,Plant,Newhall,90 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434407,RNA-Seq,300,6130764900,SAMN17311262,2057125071,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847963,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s39,SRP301679,2021-01-14T01:22:00Z,1,PRJNA691971,s39,pulp,China,Asia,China: Hubei Province,Plant,Newhall,230 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR13434408,RNA-Seq,300,6465693900,SAMN17311261,2193617913,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847962,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s38,SRP301679,2021-01-14T01:21:00Z,1,PRJNA691971,s38,pulp,China,Asia,China: Hubei Province,Plant,Newhall,230 days after flowering (DAF),,not collect,fruit,Hubei,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
